High To Open,Low To Open,Close To Open,High To Low,Volume
0.0007339225,-0.0007339225,0.0005810220,0.0014689231,8.99719
0.0025358998,0.0000000000,0.0020776046,0.0025358998,183.34984
0.0004267642,-0.0015241579,-0.0015241579,0.0019539002,14.7029
0.0014956352,-0.0003662780,0.0006409865,0.0018625954,24.44105
0.0003352841,-0.0012192148,-0.0004572056,0.0015563965,10.37943
0.0012198097,-0.0004574286,0.0003964382,0.0016780059,42.06571
0.0007923930,-0.0015238327,-0.0006095331,0.0023197607,10.64557
0.0004573729,-0.0004573729,0.0000304915,0.0009151643,12.83164
0.0004877603,-0.0006401853,0.0003353352,0.0011286682,5.29979
0.0014326648,-0.0001219289,0.0000304822,0.0015547832,25.4264
0.0021637106,-0.0002742732,0.0017370634,0.0024386526,19.45644
0.0005476118,-0.0007301491,0.0000000000,0.0012786945,12.7961
0.0050798479,-0.0008821293,0.0037718631,0.0059672411,60.77963
0.0099102922,0.0000000000,0.0099102922,0.0099102922,181.52477
0.0143144375,0.0000000000,0.0125738979,0.0143144375,113.23373
0.0070414201,-0.0023964497,0.0057692308,0.0094605415,80.15616
0.0067114094,-0.0011185682,0.0000588720,0.0078387458,162.33368
0.0029728616,-0.0004415141,0.0003826456,0.0034158839,72.82718
0.0009416473,-0.0057087367,-0.0052673396,0.0066885673,228.97634
0.0051464064,-0.0006802721,0.0051464064,0.0058306449,155.73043
0.0025596517,-0.0019418047,-0.0017064344,0.0045102143,87.40166
0.0010608204,-0.0021216407,0.0001768034,0.0031892275,42.73417
0.0054804208,0.0000000000,0.0054804208,0.0054804208,53.16922
0.0042760075,0.0000000000,0.0031337863,0.0042760075,157.49681
0.0107153285,0.0000000000,0.0072992701,0.0107153285,117.37569
0.0021447410,-0.0056806654,-0.0036808393,0.0078701140,108.67984
0.0031065819,-0.0018871759,0.0005516360,0.0050031997,70.0178
0.0041114135,-0.0019688459,0.0028374544,0.0060922541,189.77509
0.0069308074,-0.0012128913,0.0058623080,0.0081535882,159.93375
